text_number,language,url,timestamp,source,question_score
176,en,https://apple.stackexchange.com/questions/701,2023/3/29,stackexchange,26
177,en,https://apple.stackexchange.com/questions/706,2023/3/29,stackexchange,33
178,en,https://apple.stackexchange.com/questions/709,2023/3/29,stackexchange,65
179,en,https://apple.stackexchange.com/questions/715,2023/3/29,stackexchange,8
180,en,https://apple.stackexchange.com/questions/731,2023/3/29,stackexchange,9
181,en,https://apple.stackexchange.com/questions/738,2023/3/29,stackexchange,14
182,en,https://apple.stackexchange.com/questions/741,2023/3/29,stackexchange,6
183,en,https://apple.stackexchange.com/questions/750,2023/3/29,stackexchange,7
184,en,https://apple.stackexchange.com/questions/751,2023/3/29,stackexchange,4
185,en,https://apple.stackexchange.com/questions/754,2023/3/29,stackexchange,2
186,en,https://apple.stackexchange.com/questions/762,2023/3/29,stackexchange,2
187,en,https://apple.stackexchange.com/questions/764,2023/3/29,stackexchange,15
188,en,https://apple.stackexchange.com/questions/768,2023/3/29,stackexchange,8
189,en,https://apple.stackexchange.com/questions/773,2023/3/29,stackexchange,2
190,en,https://apple.stackexchange.com/questions/780,2023/3/29,stackexchange,33
191,en,https://apple.stackexchange.com/questions/789,2023/3/29,stackexchange,6
192,en,https://apple.stackexchange.com/questions/790,2023/3/29,stackexchange,6
193,en,https://apple.stackexchange.com/questions/792,2023/3/29,stackexchange,5
194,en,https://apple.stackexchange.com/questions/793,2023/3/29,stackexchange,47
195,en,https://apple.stackexchange.com/questions/795,2023/3/29,stackexchange,4
196,en,https://apple.stackexchange.com/questions/796,2023/3/29,stackexchange,4
197,en,https://apple.stackexchange.com/questions/800,2023/3/29,stackexchange,31
198,en,https://apple.stackexchange.com/questions/805,2023/3/29,stackexchange,20
199,en,https://apple.stackexchange.com/questions/808,2023/3/29,stackexchange,12
200,en,https://apple.stackexchange.com/questions/812,2023/3/29,stackexchange,13
201,en,https://apple.stackexchange.com/questions/815,2023/3/29,stackexchange,8
202,en,https://apple.stackexchange.com/questions/818,2023/3/29,stackexchange,5
203,en,https://apple.stackexchange.com/questions/819,2023/3/29,stackexchange,1
204,en,https://apple.stackexchange.com/questions/820,2023/3/29,stackexchange,20
205,en,https://apple.stackexchange.com/questions/827,2023/3/29,stackexchange,6
